track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,deezer_playlist_count,deezer_playlist_reach,shazam_counts,explicit_track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725.4,390470936.0,30716.0,196631588.0,92.0,84274754.0,1713126.0,5767700.0,651565900.0,5332281936.0,150597040.0,210.0,40975.0,62.0,17598718.0,2669262.0,0
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,545.9,323703884.0,28113.0,174597137.0,92.0,116347040.0,3486739.0,674700.0,35223547.0,208339025.0,156380351.0,188.0,40778.0,67.0,10422430.0,1118279.0,1
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,538.4,601309283.0,54331.0,211607669.0,92.0,122599116.0,2228730.0,3025400.0,275154237.0,3369120610.0,373784955.0,190.0,74333.0,136.0,36321847.0,5285340.0,0
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4,444.9,2031280633.0,269802.0,136569078.0,85.0,1096100899.0,10629796.0,7189811.0,1078757968.0,14603725994.0,3351188582.0,394.0,1474799.0,264.0,24684248.0,11822942.0,0
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,423.3,107034922.0,7223.0,151469874.0,88.0,77373957.0,3670188.0,16400.0,27141268.0,265551910.0,112763851.0,182.0,12185.0,82.0,17660624.0,457017.0,1
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,410.1,670665438.0,105892.0,175421034.0,83.0,131148091.0,1392593.0,4202367.0,214943489.0,2938686633.0,2867222632.0,138.0,522042.0,86.0,17167254.0,4517131.0,1
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407.2,900158751.0,73118.0,201585714.0,86.0,308723145.0,4120760.0,182364.5,29584940.0,534915313.0,4601579812.0,280.0,383478.0,168.0,48197850.0,9990302.0,0
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8,375.8,675079153.0,40094.0,211236940.0,92.0,228382568.0,1439495.0,3500000.0,338546668.0,3804584163.0,2112581620.0,160.0,17221.0,87.0,33245595.0,6063523.0,1
Danza Kuduro - Cover,Unknown,MUSIC LAB JPN,2024-06-09,TCJPA2463708,9,355.7,1653018119.0,1.0,15.0,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,29.0,5993.0,15.0,230295.0,903827.0,1
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330.6,90676573.0,10400.0,184199419.0,86.0,32735244.0,988682.0,325800.0,121574500.0,974656200.0,174706874.0,191.0,3823.0,78.0,10800098.0,666302.0,1
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404990,11,322.1,250080413.0,16219.0,168766158.0,91.0,32229063.0,550191.0,182364.5,184500.0,2100000.0,327130768.0,157.0,62312.0,60.0,12009073.0,963413.0,1
The Door,The Door,Teddy Swims,2024-06-14,USWB12402486,12,320.2,111155129.0,2.0,263767.0,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,29.0,5993.0,15.0,230295.0,903827.0,1
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401991,13,316.3,221636195.0,13800.0,197280692.0,92.0,40022524.0,1307290.0,195300.0,45889000.0,360017000.0,342107131.0,244.0,41344.0,138.0,38243636.0,450344.0,0
Like That,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402041,14,308.2,355186436.0,43025.0,108168634.0,88.0,98081493.0,1456177.0,182364.5,27141268.0,265551910.0,174491415.0,153.0,90237.0,55.0,3001826.0,1963314.0,1
bathroom floor,bathroom floor,Kids With Buns,2022-10-07,NLC242100307,15,301.6,297185.0,277.0,24445.0,12.0,6736502312.0,16785489.0,3.0,1088.0,22234.0,100962228.0,1.0,1057.0,15.0,230295.0,3288.0,0
LALA,LALA - Single,Myke Towers,2023-03-22,USWL12300002,16,299.9,925655569.0,103605.0,79944921.0,79.0,934302031.0,4294166.0,11054500.0,521725116.0,7499234052.0,2042145659.0,94.0,92231.0,60.0,5633435.0,2765808.0,1
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401028,17,297.6,395433400.0,12784.0,177932568.0,89.0,104673836.0,2484083.0,139300.0,25348800.0,207317000.0,268893710.0,221.0,129968.0,99.0,37988531.0,1210029.0,0
greedy,greedy,Tate McRae,2023-09-14,USRC12301932,18,293.7,1258569694.0,105218.0,198845580.0,87.0,141646818.0,1514837.0,2294429.0,419319161.0,5456156211.0,2667285437.0,207.0,667329.0,188.0,21788568.0,6973652.0,1
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401996,19,292.6,91272461.0,6499.0,52287548.0,86.0,16038053.0,569377.0,941900.0,119740900.0,1225345800.0,5839168.0,76.0,181.0,24.0,5054005.0,257661.0,0
As It Was,As It Was,Harry Styles,2022-03-31,USSM12200612,20,292.0,3301814535.0,407119.0,169783402.0,87.0,800899315.0,9101589.0,2755903.0,1633970617.0,15405881843.0,7289707052.0,455.0,1777811.0,330.0,12907852.0,14967379.0,0
Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-04,USRC12300907,21,290.5,1065399331.0,170890.0,121712197.0,78.0,240970670.0,2749668.0,3091732.0,652428798.0,7095564106.0,1063591802.0,158.0,400899.0,143.0,13718632.0,7559816.0,1
Espresso,Espresso,Sabrina Carpenter,2024-04-12,USUM72403305,22,281.5,547882871.0,24425.0,262343414.0,95.0,107550212.0,1825761.0,209200.0,169144295.0,1379499000.0,422646034.0,298.0,37208.0,167.0,41414565.0,1373085.0,1
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,2024-05-21,TCJPA2445163,23,279.0,1655575417.0,10.0,655.0,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,29.0,5993.0,15.0,230295.0,903827.0,1
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncé,2024-02-10,USSM12401302,24,278.9,426700979.0,34044.0,152928632.0,86.0,35724356.0,437980.0,1470500.0,485200392.0,6518604175.0,1213175656.0,159.0,309497.0,194.0,40725482.0,2100708.0,1
Future,Future,official sound studio,2024-01-10,RUA1H2415548,25,277.5,247133830.0,1.0,2.0,67.0,147139870.5,1277936.5,9453333.0,273236305.0,4306269694.0,100962228.0,29.0,5993.0,15.0,230295.0,903827.0,0
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,BXWEH2200054,26,268.1,7382759.0,3504.0,661084.0,35.0,4233958.0,69990.0,37621885.0,1636811753.0,22918660728.0,100962228.0,1.0,5993.0,1.0,6.0,633525.0,0
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,USSM12103949,27,266.3,3107100349.0,451732.0,134793519.0,78.0,1256973582.0,14661425.0,7485966.0,2246991336.0,23712377029.0,4327058646.0,513.0,1510151.0,166.0,5783693.0,903827.0,1
Baby Shark,Unknown,Pinkfong,2015-12-01,KRE671700001,28,265.7,720822868.0,60945.0,7530769.0,71.0,16322756555.0,48757673.0,7743800.0,281762094.0,6577639193.0,2166611.0,33.0,284.0,19.0,52179.0,2064420.0,0
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,2024-03-08,USUM72317276,29,262.8,591068364.0,26203.0,197494995.0,87.0,156882014.0,3080503.0,182364.5,27141268.0,265551910.0,578568464.0,194.0,200230.0,117.0,22062193.0,1579980.0,0
Numb / Encore,Papercuts,JAY-Z,2024-04-12,USWB12400678,30,256.0,1003215671.0,128.0,485454.0,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,29.0,5993.0,15.0,230295.0,4474248.0,1
Danza Kuduro - Cover,Unknown,LOVE BGM JPN,2024-05-14,TCJPA2406007,31,249.8,1645079292.0,33806.5,13496421.5,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,29.0,5993.0,15.0,230295.0,903827.0,1
SHEESH,BABYMONS7ER,BABYMONSTER,2024-04-01,KRA402400016,32,237.5,124893397.0,3479.0,25936342.0,82.0,359896095.0,4907193.0,212500.0,48327004.0,390081328.0,38798822.0,36.0,2188.0,3.0,347997.0,191867.0,0
Water,Water,Tyla,2023-07-28,USSM12305126,33,234.6,670376179.0,98450.0,150471020.0,83.0,265180930.0,2566846.0,2114363.0,369150956.0,3932956380.0,3031114430.0,225.0,486952.0,180.0,19469488.0,6447136.0,0
Strangers,Strangers,Kenya Grace,2023-09-01,USWB12305048,34,233.5,750154960.0,139141.0,103879363.0,79.0,118208096.0,1495758.0,1031447.0,196985853.0,2231749390.0,1745168821.0,163.0,378114.0,113.0,16295286.0,7477917.0,0
Too Sweet,Unreal Unearth: Unheard,Hozier,2024-03-22,USSM12401865,35,231.6,532012790.0,23557.0,67488850.0,67.0,62123098.0,923733.0,182364.5,27141268.0,265551910.0,384716227.0,221.0,151990.0,42.0,658517.0,903827.0,0
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,2024-04-26,GBAYE2300351,36,230.0,479417905.0,7.0,1519.0,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,29.0,5993.0,15.0,230295.0,3692067.0,0
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,2024-04-12,USUYG1541249,37,226.4,311928522.0,25766.0,180237463.0,96.0,62694868.0,837616.0,182364.5,27811667.0,378313942.0,243895569.0,149.0,5993.0,58.0,26516005.0,1707213.0,1
Lose Control,Lose Control,Teddy Swims,2023-06-23,USWB12302315,38,224.1,775135157.0,88239.0,180617454.0,87.0,139180960.0,1504385.0,396560.0,49060857.0,597513595.0,4016801205.0,215.0,605841.0,133.0,42675181.0,10517831.0,0
fukumean,fukumean,Gunna,2023-06-15,USAT22306575,39,221.1,759998727.0,188142.0,80392612.0,80.0,94699547.0,1222012.0,1237229.0,311252391.0,3281790327.0,140623676.0,123.0,265291.0,40.0,2225409.0,3945184.0,1
Dance Monkey,Dance Monkey,Tones And I,2019-05-10,QZES71982312,40,214.5,3071214106.0,375201.0,64901153.0,71.0,3366447481.0,27240268.0,10342366.0,393814740.0,5861939942.0,2428166573.0,549.0,573733.0,584.0,5749770.0,44842636.0,0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401994,41,212.8,214237645.0,10871.0,202626837.0,92.0,11033725.0,251373.0,251200.0,71078500.0,443104700.0,148058631.0,247.0,3400.0,67.0,11523335.0,285858.0,0
I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,UKWLG2200055,43,209.6,1658229422.0,262248.0,239957538.0,83.0,466080689.0,4324989.0,728093.0,54258768.0,1051836430.0,1425853925.0,285.0,935190.0,207.0,6479623.0,10973120.0,1
Daylight,Daylight,David Kushner,2023-04-14,QZXDB2300005,44,207.0,1126820069.0,177800.0,85255689.0,82.0,274070101.0,3701289.0,2557115.0,285329503.0,2578518632.0,1205538057.0,163.0,259255.0,77.0,3413707.0,8681350.0,0
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,USJ5G2335007,45,206.2,997702304.0,105927.0,92834002.0,86.0,48093111.0,959175.0,3648759.0,857220853.0,5469808282.0,298259422.0,91.0,36285.0,63.0,10874749.0,2682219.0,0
Please Please Please,Please Please Please,Sabrina Carpenter,2024-06-06,USUM72404101,46,205.7,59314441.0,2572.0,183043096.0,83.0,22374807.0,1026097.0,182364.5,188200.0,1200000.0,110446147.0,199.0,2359.0,73.0,13686074.0,47115.0,1
Houdini,Houdini - Single,Dua Lipa,2023-11-09,GBAHT2301246,47,205.1,493627071.0,45300.0,87874006.0,80.0,150571504.0,1575378.0,93500.0,35970610.0,386610043.0,3129834452.0,174.0,564640.0,146.0,28246184.0,2389957.0,0
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,2024-05-02,TCJPA2415647,48,204.4,1655575417.0,9.0,85.0,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,29.0,5993.0,15.0,230295.0,903827.0,1
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2023-02-10,GBUM72300969,49,203.6,304929492.0,43923.0,46133083.0,69.0,61986821.0,921044.0,13872768.0,390207653.0,5684815935.0,19218089.0,78.0,92638.0,41.0,3467570.0,2227494.0,1
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,USUM71607007,50,203.5,1747093405.0,178114.0,49464650.0,74.0,9537135721.0,61799279.0,799338.0,78304409.0,1143297071.0,569548901.0,179.0,121234.0,145.0,1977014.0,19622551.0,0
euphoria,euphoria,Kendrick Lamar,2024-04-30,USUG12402839,51,202.1,168434320.0,17168.0,62516401.0,86.0,53604746.0,1846535.0,182364.5,27141268.0,265551910.0,174375427.0,65.0,6408.0,20.0,428378.0,654482.0,1
Panda Basi,Panda Basi - EP,Mvua,2023-02-10,GX3Q92333626,52,200.3,104271.0,249.0,8585.0,25.0,2457026781.0,1277936.5,190.0,36666.0,393580.0,100962228.0,29.0,12.0,15.0,230295.0,1881.0,0
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,2022-08-25,NGA3B2214021,53,198.0,1391688322.0,163876.0,130963116.0,77.0,902742581.0,8099187.0,599.0,48035.0,2857920.0,750030685.0,316.0,1107265.0,112.0,11937930.0,3521951.0,0
Shape of You,Shape of You,Ed Sheeran,2017-01-06,GBAHS1600463,54,195.1,3909458734.0,316378.0,148037882.0,80.0,8013997219.0,45770887.0,2270315.0,194420058.0,2320856331.0,2294804623.0,465.0,402829.0,512.0,2710931.0,1146246.0,0
Mitu,Mitu - Single,Maian,2023-01-19,EEUM72300001,55,194.3,55346.0,42.0,16861.0,13.0,2432265978.0,8162101.0,182364.5,27141268.0,265551910.0,100962228.0,29.0,53.0,15.0,230295.0,200.0,0
Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,USUG11904206,56,194.0,4281468720.0,590392.0,165544011.0,83.0,833807130.0,10093211.0,2882064.0,337322563.0,3501177394.0,2258085924.0,859.0,1695240.0,564.0,11701129.0,28994660.0,0
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,2022-12-02,USUG12208791,57,192.3,1337619917.0,228295.0,64806723.0,80.0,193982443.0,2023998.0,423714.0,148085419.0,1268862678.0,444033037.0,152.0,952186.0,58.0,2134791.0,6205060.0,1
Dona Felicidade,Dona Felicidade,Patati Patatá,2024-06-04,QZNJW2423715,58,190.0,247133830.0,2.0,41206.0,67.0,52480069.0,82092.0,182364.5,27141268.0,265551910.0,100962228.0,29.0,5993.0,1.0,1657.0,903827.0,0
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,2024-04-29,TCJPA2420090,59,190.0,1655575417.0,1.0,3.0,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,29.0,5993.0,15.0,230295.0,903827.0,1
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,2022-09-22,GBUM72205415,60,189.1,1556275789.0,210583.0,95974138.0,74.0,254051906.0,3364206.0,2379787.0,683088623.0,7945975878.0,1524133775.0,203.0,718849.0,63.0,1616564.0,10192485.0,0
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,2024-06-05,ROCMA2413380,61,187.9,247133830.0,2.0,135.0,9.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,29.0,5993.0,15.0,230295.0,903827.0,0
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,2023-12-31,RUA1H2406425,62,186.5,1384.0,2.0,801.0,67.0,222076.0,5430.0,5013500.0,605320683.0,8811416708.0,100962228.0,29.0,5993.0,15.0,230295.0,903827.0,0
Supernova,Supernova,aespa,2024-05-13,KRA302400090,63,186.1,69729033.0,2483.0,21046278.0,81.0,111310770.0,1724693.0,56600.0,61038623.0,393973528.0,32059104.0,40.0,709.0,7.0,544322.0,63283.0,0
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214877,64,184.8,1811990630.0,173358.0,67603671.0,79.0,1516863120.0,8870768.0,4506600.0,549886060.0,6470937272.0,934894575.0,124.0,77120.0,44.0,14871714.0,3393920.0,1
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,2024-03-29,USCM52400059,65,181.4,199929812.0,4.0,98.0,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,1.0,5993.0,15.0,230295.0,903827.0,1
Calm Down,Calm Down,Rema,2022-02-10,NGA3B2214004,66,180.1,584427088.0,182994.0,19203258.0,68.0,1141904909.0,8766235.0,6129450.0,856216952.0,18216656774.0,2952879912.0,138.0,191634.0,53.0,3481756.0,22563407.0,0
Kill Bill,SOS,SZA,2022-12-08,USRC12204584,68,177.7,1873746537.0,190202.0,99546318.0,82.0,220538045.0,3153793.0,266430.0,152410048.0,1284413960.0,426461749.0,214.0,655242.0,73.0,1304067.0,4873832.0,0
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,2023-03-03,QZA742305720,70,176.2,46567.0,252.0,21930.0,6.0,2038459981.0,6076902.0,182364.5,27141268.0,265551910.0,100962228.0,2.0,29.0,15.0,230295.0,903.0,0
Heat Waves,Heat Waves,Glass Animals,2020-06-29,GBUM72000433,71,175.0,2996181078.0,486278.0,112416489.0,82.0,1272898075.0,14947520.0,1416295.0,513334446.0,5518429969.0,4899313022.0,459.0,1414326.0,170.0,11862378.0,17848778.0,0
In the End,Papercuts,Linkin Park,2024-04-12,USWB11201322,72,174.8,2045512421.0,97.0,488602.0,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,29.0,5993.0,15.0,230295.0,903827.0,0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,2023-01-11,UYB282301031,73,174.3,946941510.0,100130.0,74836321.0,74.0,776436101.0,12951756.0,4210895.0,797017650.0,11936401096.0,457987382.0,110.0,165670.0,106.0,4971379.0,2237762.0,0
The Way We Move - Extended Mix,The Way We Move,PowerDress,2023-03-10,UKACT2330463,74,173.6,7909.0,38.0,15023.0,4.0,1999374091.0,5708577.0,182364.5,27141268.0,265551910.0,100962228.0,29.0,59.0,15.0,230295.0,1412.0,0
Old Town Road,Old Town Road,Lil Nas X,2019-03-14,USSM11901941,75,170.3,1010494713.0,127393.0,18652312.0,67.0,3203314695.0,41487213.0,5757883.0,187301054.0,1981431049.0,939714925.0,63.0,49780.0,64.0,397418.0,8856633.0,0
un x100to,un x100to,Grupo Frontera,2023-04-17,QM6N22311285,76,170.2,1008495696.0,99381.0,57394938.0,75.0,878892413.0,4425283.0,796603.0,127651887.0,1669065906.0,1522934425.0,101.0,73481.0,42.0,5734172.0,2283747.0,0
Sprinter,Sprinter - Single,Dave,2023-06-01,GBUM72305159,78,168.1,692512930.0,199828.0,55464762.0,78.0,219666692.0,2332307.0,731797.0,130560533.0,1254944697.0,918145630.0,155.0,42082.0,41.0,1790031.0,3093667.0,1
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401988,79,167.8,169410711.0,11028.0,144854768.0,90.0,19402457.0,997411.0,284.0,27141268.0,265551910.0,260377114.0,185.0,1008.0,53.0,20737850.0,388625.0,0
TQG,TQG,KAROL G,2023-02-23,USUM72222541,80,167.8,1024381758.0,78554.0,69319589.0,78.0,1102289596.0,8953293.0,457111.0,15048444.0,248168852.0,1174053183.0,138.0,149584.0,84.0,8850320.0,3488226.0,1
Perfect,Unknown,Ed Sheeran,2017-03-03,GBAHS1700024,81,167.5,2969999682.0,280165.0,116921604.0,81.0,6473698897.0,39632673.0,6642975.0,601244764.0,7647479866.0,1708317539.0,208.0,263386.0,343.0,1242581.0,903827.0,0
Pepas,Pepas,Farruko,2021-06-24,USSD12100307,82,167.3,1500499584.0,359502.0,125112486.0,74.0,1431591689.0,11553088.0,2866181.0,290811371.0,4067248819.0,782475986.0,258.0,240677.0,137.0,4015523.0,17210946.0,1
Peekaboo,Glide - Single,Dave Angel,2023-01-27,GBLTF2300027,83,167.2,8082.0,63.0,32758.0,67.0,2055940513.0,4150967.0,182364.5,27141268.0,265551910.0,100962228.0,1.0,13.0,15.0,230295.0,442.0,0
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,2023-03-16,USE7D2300007,84,166.5,1215336974.0,129463.0,39814172.0,74.0,701880622.0,3831236.0,5416.0,550073.0,15373104.0,546259059.0,83.0,40153.0,24.0,4946338.0,3435177.0,0
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,USAT22305457,85,166.2,860026452.0,74769.0,139913794.0,80.0,173044031.0,1640319.0,175536.0,90924917.0,1227837850.0,1205266954.0,7.0,759185.0,82.0,4067956.0,3199636.0,0
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,2023-03-17,MXF152300159,86,164.9,1032225805.0,94887.0,74469479.0,79.0,920878032.0,3118229.0,1031612.0,116003972.0,2416141351.0,1690231413.0,83.0,57941.0,42.0,3360878.0,2635577.0,1
redrum,american dream,21 Savage,2024-01-12,USSM12309164,87,164.8,428233003.0,57311.0,144298748.0,67.0,105148629.0,1762297.0,87200.0,6732800.0,43993800.0,977638660.0,74.0,102457.0,48.0,4037475.0,2490071.0,1
Easy On Me,Easy On Me,Adele,2021-10-14,USSM12105970,88,163.2,1720918065.0,209635.0,93875458.0,73.0,1194846205.0,13561925.0,1912194.0,733101955.0,7860224413.0,6353555150.0,325.0,774277.0,257.0,5323750.0,7569155.0,0
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,2023-05-12,USQX92302957,90,162.0,333202114.0,108322.0,41018697.0,68.0,203487345.0,2084532.0,928132.0,63253779.0,748253884.0,735908540.0,148.0,346411.0,30.0,1277729.0,4207535.0,1
Anti-Hero,Midnights,Taylor Swift,2022-10-21,USUG12205736,91,161.8,1563224246.0,117005.0,97456780.0,80.0,203259285.0,3482508.0,1302967.0,376660493.0,3864505972.0,724976542.0,261.0,1034319.0,74.0,4457357.0,4703179.0,0
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022-07-06,UYB282201028,92,161.7,1692951462.0,209490.0,88591675.0,78.0,1132539234.0,8795731.0,1212100.0,196608777.0,2054826154.0,56677146.0,99.0,138254.0,58.0,5211955.0,6836893.0,0
Magnetic,SUPER REAL ME,ILLIT,2024-03-25,USA2P2413259,93,161.0,255076355.0,11500.0,90584540.0,86.0,202206901.0,2596912.0,182364.5,57656713.0,506476590.0,273521596.0,67.0,4716.0,9.0,423666.0,659825.0,0
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,2023-07-28,USSD12300307,94,158.2,275349653.0,37806.0,22826643.0,70.0,347506860.0,1553295.0,4349700.0,321239621.0,4767676439.0,2676837761.0,19.0,23875.0,37.0,3780737.0,1245874.0,1
La Diabla,La Diabla - Single,Xavi,2023-12-02,USA2P2357356,95,155.9,649404552.0,27544.0,47789063.0,83.0,433839212.0,2750086.0,182364.5,414833.0,10603563.0,1795939912.0,29.0,16287.0,34.0,16509806.0,1380069.0,0
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2023-02-03,GBAYE2300015,96,153.6,851085705.0,129047.0,50996176.0,70.0,211810152.0,2461166.0,3502547.0,955272568.0,8781020473.0,806434641.0,162.0,223173.0,65.0,8655684.0,2580691.0,1
Snooze,SOS,SZA,2022-12-09,USRC12204591,97,153.3,1013350808.0,108036.0,86470319.0,84.0,390677417.0,2521214.0,402338.0,97819766.0,887803828.0,560893301.0,154.0,559589.0,60.0,2707900.0,3129609.0,1
BELLAKEO,BELLAKEO,Peso Pluma,2023-12-07,QMFMF2388143,98,153.1,359803580.0,26065.0,79152427.0,86.0,369321334.0,1839225.0,720800.0,74164945.0,874056250.0,4123457278.0,40.0,16952.0,63.0,18139662.0,1002835.0,1
Agora Hills,Scarlet,Doja Cat,2023-09-22,USRC12301954,99,152.8,509653100.0,66219.0,67521533.0,67.0,48045203.0,986278.0,328562.0,88846508.0,544437406.0,1561456615.0,80.0,400206.0,78.0,9341155.0,4295361.0,1
Prada,Prada,cassö,2023-08-11,GBCEN2300147,100,152.5,609699748.0,128498.0,160755092.0,83.0,47611547.0,418343.0,283600.0,96934486.0,1090501901.0,113545664.0,129.0,123242.0,167.0,15480679.0,903827.0,1
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,2024-05-02,GXD7G2413058,101,152.3,5157486.0,470.0,2924720.0,67.0,1278618.0,27849.0,1100000.0,261000.0,3900000.0,100962228.0,3.0,5993.0,2.0,39366.0,47658.0,0
Lil Boo Thang,Lil Boo Thang,Paul Russell,2023-08-18,USAR12300323,102,152.1,242070373.0,37170.0,74130983.0,76.0,22907992.0,261664.0,2553106.0,312997953.0,3832221658.0,15593731.0,106.0,370635.0,69.0,1792014.0,2219984.0,0
MONACO,nadie sabe lo que va a pasar mañana,Bad Bunny,2023-10-13,QMFME2364182,103,150.7,478150858.0,73306.0,51842133.0,78.0,113379734.0,1312763.0,1700998.0,182319546.0,2111289492.0,90954700.0,78.0,35330.0,56.0,15784760.0,2255465.0,1
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,2020-04-24,USSM12002399,104,150.5,61382407.0,7240.0,1708319.0,43.0,9977490.0,201210.0,37726462.0,9239474.0,147837262.0,100962228.0,15.0,10152.0,5.0,59317.0,3819161.0,0
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,2023-06-15,GBBKS2300080,105,150.4,460156070.0,163449.0,127827271.0,77.0,8183226.0,98257.0,530103.0,65920648.0,1032799567.0,56004473.0,29.0,195140.0,102.0,3034022.0,9279625.0,0
Training Season,Training Season,Dua Lipa,2024-02-15,GBAHT2301078,106,148.9,251153869.0,16811.0,92985554.0,76.0,66691067.0,961957.0,102884.0,34572688.0,431390500.0,2120552147.0,162.0,180711.0,127.0,33540073.0,2047771.0,0
Type Shit,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402033,107,148.1,205206688.0,28064.0,84737651.0,84.0,39453253.0,672789.0,182364.5,27141268.0,265551910.0,232440923.0,99.0,3432.0,41.0,2943724.0,900933.0,1
Armageddon,Armageddon - The 1st Album,aespa,2024-05-27,KRA302400093,108,147.4,32942304.0,1262.0,26204483.0,74.0,57861795.0,1257935.0,182364.5,27141268.0,265551910.0,29510774.0,37.0,290.0,5.0,530831.0,29736.0,0
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,2019-12-06,USAT21906978,109,146.6,1911559785.0,317345.0,87765033.0,78.0,441257231.0,4829633.0,4930490.0,561201008.0,4574447121.0,2077511.0,255.0,296948.0,138.0,555650.0,11988760.0,1
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-07-23,USSM12104539,110,145.3,2014959725.0,354831.0,87942438.0,70.0,1003346208.0,16856186.0,1750366.0,915814897.0,9558947943.0,3191316960.0,360.0,245228.0,109.0,3242122.0,12693846.0,1
